datetime,Tryptophan RFU,CDOM RFU,Temperature
9/19/24 0:06,51.9,1565.3,21.01
9/19/24 0:16,51.6,1563.7,21.03
9/19/24 0:26,49.4,1559.6,21.04
9/19/24 0:36,51.3,1566.1,21.05
9/19/24 0:46,50.8,1568,21.07
9/19/24 0:56,50.7,1568.1,21.08
9/19/24 1:06,51.5,1565.2,21.1
9/19/24 1:16,50.6,1566.8,21.1
9/19/24 1:26,51.1,1564.7,21.11
9/19/24 1:36,50.2,1559.6,21.12
9/19/24 1:46,50,1566.6,21.13
9/19/24 1:56,50.2,1569.9,21.14
9/19/24 2:06,49.5,1572.7,21.14
9/19/24 2:16,49.4,1565.5,21.14
9/19/24 2:26,50.2,1555.1,21.14
9/19/24 2:36,50.6,1565.2,21.14
9/19/24 2:46,51.1,1561.6,21.14
9/19/24 2:56,51.4,1553.9,21.13
9/19/24 3:06,50.7,1553.2,21.12
9/19/24 3:16,51,1563.5,21.1
9/19/24 3:26,51.8,1540.9,21.07
9/19/24 3:36,52.3,1630,21.04
9/19/24 3:46,51.5,1639.6,21.01
9/19/24 3:56,51,1642.5,20.98
9/19/24 4:06,51.4,1650.1,20.95
9/19/24 4:16,50.7,1656.1,20.91
9/19/24 4:26,52.5,1660.8,20.88
9/19/24 4:36,51.8,1649,20.85
9/19/24 4:56,50.8,1657.7,20.77
9/19/24 5:06,52.2,1662.2,20.74
9/19/24 5:16,51.2,1663.5,20.7
9/19/24 5:26,51.9,1668.4,20.67
9/19/24 5:36,51.2,1664.4,20.63
9/19/24 5:46,51,1669.8,20.6
9/19/24 5:56,50.3,1667.8,20.56
9/19/24 6:06,51.6,1668,20.53
9/19/24 6:16,50.5,1654.8,20.5
9/19/24 6:26,50.5,1655.2,20.47
9/19/24 6:36,50,1655.3,20.44
9/19/24 6:46,52,1659.6,20.41
9/19/24 6:56,51.4,1668.3,20.38
9/19/24 7:06,53.2,1671.9,20.35
9/19/24 7:16,52,1646.1,20.32
9/19/24 7:26,51,1623.1,20.29
9/19/24 7:36,51.1,1657.3,20.26
9/19/24 7:46,50.7,1635.9,20.23
9/19/24 7:56,51.5,1647.6,20.21
9/19/24 8:06,52.2,1627.1,20.19
9/19/24 8:16,49.9,1657.8,20.17
9/19/24 8:26,49.9,1654,20.15
9/19/24 8:36,51.7,1649,20.13
9/19/24 8:46,51.8,1627.3,20.12
9/19/24 8:56,51.2,1621.5,20.11
9/19/24 9:06,52.5,1623.8,20.11
9/19/24 9:16,51.5,1618.1,20.1
9/19/24 9:26,51.6,1620.4,20.1
9/19/24 9:36,52.3,1611.5,20.1
9/19/24 9:46,50.8,1602,20.11
9/19/24 9:56,51.7,1610.6,20.11
9/19/24 10:06,52.4,1607.4,20.11
9/19/24 10:16,53.4,1609,20.11
9/19/24 10:26,15.9,0.6,18.61
9/19/24 10:36,34.5,10.9,19.61
9/19/24 10:46,14,9.1,20.84
9/19/24 10:56,73.9,1900.2,20.2
9/19/24 11:06,74.4,1911.3,20.12
9/19/24 11:16,74.7,1911.7,20.09
9/19/24 11:26,74.3,1905.8,20.07
9/19/24 11:36,75,1901.8,20.07
9/19/24 11:46,75.6,1906.9,20.07
9/19/24 11:56,73.4,1904.1,20.08
9/19/24 12:06,74.2,1899.7,20.09
9/19/24 12:16,75.1,1902.3,20.12
9/19/24 12:26,73.9,1934.3,20.17
9/19/24 12:36,75,1930.2,20.24
9/19/24 12:46,75.6,1884.6,20.31
9/19/24 12:56,74.2,1920.3,20.38
9/19/24 13:06,75.4,1892,20.45
9/19/24 13:16,75.7,1921.3,20.52
9/19/24 13:26,74.1,1917.2,20.59
9/19/24 13:36,74.6,1910.1,20.67
9/19/24 13:46,75.4,1888.8,20.73
9/19/24 13:56,74.2,1906.2,20.79
9/19/24 14:06,75.2,1867.9,20.84
9/19/24 14:16,75.2,1862.7,20.87
9/19/24 14:26,73.5,1864,20.89
9/19/24 14:36,73.6,1890.3,20.88
9/19/24 14:46,74.1,1898.2,20.87
9/19/24 14:56,75,1896.4,20.87
9/19/24 15:06,75.3,1900.8,20.85
9/19/24 15:16,74.2,1899.8,20.82
9/19/24 15:26,75.7,1908.3,20.8
9/19/24 15:36,74.2,1900.3,20.79
9/19/24 15:46,74.8,1898.8,20.76
9/19/24 15:56,74.8,1900.7,20.74
9/19/24 16:06,74.8,1902.9,20.71
9/19/24 16:16,76.5,1899.4,20.7
9/19/24 16:26,76.7,1893.8,20.69
9/19/24 16:36,75.5,1891.4,20.68
9/19/24 16:46,76.3,1888.4,20.68
9/19/24 16:56,74.6,1878.9,20.68
9/19/24 17:06,75.2,1876.6,20.68
9/19/24 17:16,75.3,1872.6,20.69
9/19/24 17:26,76.2,1873.1,20.69
9/19/24 17:36,75.5,1871.5,20.7
