datetime,Tryptophan RFU,CDOM RFU,Temperature
4/1/2024 0:00,20.2,2206.3,15.45
4/1/2024 0:10,20.2,2216.5,15.43
4/1/2024 0:20,18.7,2227.4,15.43
4/1/2024 0:30,19.6,2233.5,15.41
4/1/2024 0:40,19.1,2233.2,15.4
4/1/2024 0:50,18.7,2238.3,15.39
4/1/2024 1:00,19.9,2250,15.35
4/1/2024 1:10,18.2,2256.8,15.34
4/1/2024 1:20,17.9,2260.5,15.33
4/1/2024 1:30,19.7,2260.5,15.31
4/1/2024 1:40,19.1,2262.3,15.29
4/1/2024 1:50,20.3,2266,15.27
4/1/2024 2:00,18.8,2259.1,15.25
4/1/2024 2:10,20.1,2253.9,15.23
4/1/2024 2:20,19.6,2259.6,15.19
4/1/2024 2:30,19.3,2269.3,15.18
4/1/2024 2:40,19.5,2283.5,15.12
4/1/2024 2:50,21.3,2288.3,15.11
4/1/2024 3:00,20.6,2283.8,15.09
4/1/2024 3:10,18.8,2287.3,15.06
4/1/2024 3:20,20.1,2281.6,15.06
4/1/2024 3:30,20.7,2290.4,15.02
4/1/2024 3:40,20.6,2284.4,15.01
4/1/2024 3:50,19.3,2280.8,14.98
4/1/2024 4:00,19.4,2270.8,14.96
4/1/2024 4:10,20.1,2283.2,14.93
4/1/2024 4:20,18.6,2289.3,14.91
4/1/2024 4:30,19.2,2296.2,14.87
4/1/2024 4:40,19.5,2302.6,14.87
4/1/2024 4:50,20.5,2291.4,14.87
4/1/2024 5:00,20.2,2289.5,14.85
4/1/2024 5:10,18.7,2311.1,14.82
4/1/2024 5:20,19.7,2318.5,14.81
4/1/2024 5:30,21.4,2318.2,14.8
4/1/2024 5:40,19,2310.2,14.79
4/1/2024 5:50,19.2,2315.8,14.75
4/1/2024 6:00,20,2310.6,14.76
4/1/2024 6:10,20.4,2319,14.71
4/1/2024 6:20,19.3,2318.5,14.71
4/1/2024 6:30,18.2,2321.7,14.68
4/1/2024 6:40,19.5,2322.3,14.66
4/1/2024 6:50,19.1,2316.3,14.66
4/1/2024 7:00,19.7,2329,14.62
4/1/2024 7:10,19.7,2321,14.61
4/1/2024 7:20,19.8,2323.1,14.62
4/1/2024 7:30,19.8,2329.2,14.59
4/1/2024 7:40,19.2,2328,14.59
4/1/2024 7:50,19.1,2310.6,14.59
4/1/2024 8:00,20.5,2305.6,14.59
4/1/2024 8:10,19.7,2316.2,14.58
4/1/2024 8:20,20.9,2298.5,14.6
4/1/2024 8:30,20.2,2312.7,14.63
4/1/2024 8:40,19.5,2312.3,14.63
4/1/2024 8:50,19.9,2310.6,14.65
4/1/2024 9:00,19.1,2277.6,14.69
4/1/2024 9:10,19.5,2314.5,14.73
4/1/2024 9:20,19.6,2302.2,14.78
4/1/2024 9:30,19.4,2314.9,14.84
4/1/2024 9:40,19.9,2322.1,14.93
4/1/2024 9:50,20.3,2301.4,15.02
4/1/2024 10:00,20.2,2312,15.12
4/1/2024 10:10,19.7,2300.6,15.24
4/1/2024 10:20,19.9,2295.6,15.38
4/1/2024 10:30,19.7,2278.2,15.54
4/1/2024 10:40,19.7,2278.3,15.7
4/1/2024 10:50,19.3,2254.9,15.84
4/1/2024 11:00,19.4,2239.8,15.99
4/1/2024 11:10,19.4,2230.3,16.13
4/1/2024 11:20,17.9,2221.5,16.3
4/1/2024 11:30,18,2207.5,16.48
4/1/2024 11:40,17.8,2187.6,16.64
4/1/2024 11:50,18.7,2168.6,16.79
4/1/2024 12:00,19.8,2152.5,16.95
4/1/2024 12:10,19.9,2141.4,17.05
4/1/2024 12:20,19.8,2118.2,17.14
4/1/2024 12:30,19.3,2120.4,17.18
4/1/2024 12:40,19.4,2113.2,17.29
4/1/2024 12:50,19,2078.3,17.45
4/1/2024 13:00,19.5,2059.2,17.58
4/1/2024 13:10,19.3,2050.4,17.71
4/1/2024 13:20,19.4,2048.6,17.85
