datetime,Tryptophan RFU,CDOM RFU,Temperature
8/1/2024 0:00,78.8,2533.1,25.66
8/1/2024 0:05,79.7,2537,25.65
8/1/2024 0:10,77.7,2536.6,25.63
8/1/2024 0:15,78.4,2535.1,25.61
8/1/2024 0:20,79.1,2542.6,25.6
8/1/2024 0:25,78.6,2549.1,25.58
8/1/2024 0:30,78,2551.5,25.56
8/1/2024 0:35,79.6,2554.2,25.53
8/1/2024 0:40,80.4,2548.7,25.51
8/1/2024 0:45,79.9,2556.4,25.49
8/1/2024 0:50,79.5,2563,25.47
8/1/2024 0:55,79,2554.8,25.44
8/1/2024 1:00,76.8,2564.8,25.42
8/1/2024 1:05,79.5,2567.7,25.39
8/1/2024 1:10,78.1,2562.4,25.36
8/1/2024 1:15,79.2,2567.9,25.34
8/1/2024 1:20,79.4,2564.6,25.32
8/1/2024 1:25,79.7,2561.6,25.3
8/1/2024 1:30,78.6,2567.2,25.27
8/1/2024 1:35,79.4,2562.3,25.24
8/1/2024 1:40,79.9,2578.1,25.21
8/1/2024 1:45,78.9,2581.9,25.18
8/1/2024 1:50,79,2588.9,25.16
8/1/2024 1:55,77.4,2589.1,25.13
8/1/2024 2:00,81.8,2590.9,25.11
8/1/2024 2:05,79.4,2592.2,25.08
8/1/2024 2:10,79.5,2590.4,25.05
8/1/2024 2:15,78.7,2596.9,25.02
8/1/2024 2:20,79.4,2597.2,25
8/1/2024 2:25,80.1,2601,24.96
8/1/2024 2:30,78.8,2606.7,24.92
8/1/2024 2:35,79.1,2612.4,24.89
8/1/2024 2:40,79,2611,24.87
8/1/2024 2:45,79.7,2618.5,24.83
8/1/2024 2:50,79.7,2614,24.79
8/1/2024 2:55,79.9,2612.6,24.76
8/1/2024 3:00,80,2617.7,24.72
8/1/2024 3:05,78.4,2620.1,24.68
8/1/2024 3:10,80.3,2625.3,24.65
8/1/2024 3:15,78.1,2618.2,24.61
8/1/2024 3:20,80.3,2626.4,24.58
8/1/2024 3:25,80,2629.9,24.55
8/1/2024 3:30,81.2,2632.2,24.51
8/1/2024 3:35,79.2,2628.6,24.48
8/1/2024 3:40,78.8,2631.5,24.45
8/1/2024 3:45,79.8,2631.4,24.41
8/1/2024 3:50,80.3,2632.7,24.37
8/1/2024 3:55,77.7,2629.4,24.33
8/1/2024 4:00,78.6,2635.9,24.29
8/1/2024 4:05,80,2624.8,24.26
8/1/2024 4:10,79.5,2632.1,24.22
8/1/2024 4:15,79.5,2636.7,24.19
8/1/2024 4:20,80,2639.5,24.15
8/1/2024 4:25,78.7,2630.7,24.11
8/1/2024 4:30,79.1,2638.9,24.07
8/1/2024 4:35,79.7,2635,24.03
8/1/2024 4:40,79.6,2647.2,24
8/1/2024 4:45,78.5,2647.3,23.96
8/1/2024 4:50,80.1,2646.3,23.92
8/1/2024 4:55,79.5,2646,23.88
8/1/2024 5:00,79.8,2648.7,23.84
8/1/2024 5:05,79.6,2645.4,23.81
8/1/2024 5:10,81.7,2643.7,23.77
8/1/2024 5:15,80.4,2649,23.73
8/1/2024 5:20,79.3,2643.6,23.69
8/1/2024 5:25,79.1,2647.2,23.65
8/1/2024 5:30,78.9,2653.3,23.62
8/1/2024 5:35,79.8,2658.3,23.59
8/1/2024 5:40,81,2656,23.55
8/1/2024 5:45,79.5,2650.7,23.52
8/1/2024 5:50,79.3,2650.8,23.48
8/1/2024 5:55,78,2658.3,23.45
8/1/2024 6:00,79.5,2649.8,23.42
8/1/2024 6:05,80.1,2654,23.39
