datetime,Tryptophan RFU,CDOM RFU,Temperature
12/1/23 0:00,73.5,1412.1,15.15
12/1/23 0:10,80.4,1425.6,15.16
12/1/23 0:20,75.6,1427.8,15.13
12/1/23 0:30,76,1426.3,15.1
12/1/23 0:40,76.2,1418.7,15.07
12/1/23 0:50,78,1423,15.05
12/1/23 1:00,73.8,1437.2,15.03
12/1/23 1:10,75.1,1449.6,15.02
12/1/23 1:20,75.4,1439.6,14.98
12/1/23 1:30,77.1,1441.2,14.96
12/1/23 1:40,75.2,1458.2,14.94
12/1/23 1:50,77.5,1462.8,14.94
12/1/23 2:00,81.9,1460.8,14.93
12/1/23 2:10,79,1465,14.95
12/1/23 2:20,78.5,1462.6,14.93
12/1/23 2:30,77.6,1464.4,14.94
12/1/23 2:40,78.8,1459.8,14.93
12/1/23 2:50,78.9,1453.1,14.92
12/1/23 3:00,78.1,1452.6,14.91
12/1/23 3:10,79,1457.9,14.9
12/1/23 3:20,78.2,1465,14.89
12/1/23 3:30,80.7,1462.9,14.89
12/1/23 3:40,79.4,1445.5,14.88
12/1/23 3:50,79.1,1437.1,14.87
12/1/23 4:00,69.9,1254.9,14.7
12/1/23 4:10,70.4,1181.8,14.7
12/1/23 4:20,72.5,1296.6,14.68
12/1/23 4:30,72,1378.8,14.64
12/1/23 4:40,72.8,1435.8,14.6
12/1/23 4:50,71.7,1363.7,14.59
12/1/23 5:00,71,1304.7,14.55
12/1/23 5:10,72.8,1279.9,14.51
12/1/23 5:20,64.9,1129.2,14.54
12/1/23 5:30,70.1,1271.4,14.68
12/1/23 5:40,61.6,1341,14.72
12/1/23 5:50,63.8,1377.4,14.64
12/1/23 6:00,65.2,1403.7,14.62
12/1/23 6:10,65.2,1454.9,14.6
12/1/23 6:20,68.7,1493.1,14.6
12/1/23 6:30,70,1467.9,14.59
12/1/23 6:40,70.6,1466.7,14.59
12/1/23 6:50,74,1493.8,14.59
12/1/23 7:00,73.8,1503.6,14.6
12/1/23 7:10,74.7,1494,14.62
12/1/23 7:20,76.4,1478.7,14.59
12/1/23 7:30,76.5,1500.4,14.58
