datetime,Tryptophan RFU,CDOM RFU,Temperature
2/1/24 0:00,81.4,2406,14.41
2/1/24 0:10,81,2397.4,14.38
2/1/24 0:20,80.1,2359.9,14.34
2/1/24 0:30,80.3,2362.9,14.29
2/1/24 0:40,80,2337.5,14.26
2/1/24 0:50,79.5,2340.4,14.2
2/1/24 1:00,78.5,2348,14.16
2/1/24 1:10,78.9,2344,14.15
2/1/24 1:20,79.3,2332.6,14.1
2/1/24 1:30,78.8,2323.5,14.07
2/1/24 1:40,78.7,2309.3,14.05
2/1/24 1:50,77.2,2319.9,14.02
2/1/24 2:00,77.7,2310.6,13.98
2/1/24 2:10,78.8,2306.1,13.96
2/1/24 2:20,76.9,2295.3,13.93
2/1/24 2:30,78.5,2287,13.91
2/1/24 2:40,79.2,2291.7,13.89
2/1/24 2:50,77.1,2280.5,13.85
2/1/24 3:00,77.2,2262.6,13.84
2/1/24 3:10,77,2252.9,13.81
2/1/24 3:20,75.9,2247.6,13.8
2/1/24 3:30,76.5,2246.3,13.77
2/1/24 3:40,75.7,2240.3,13.75
2/1/24 3:50,75.2,2238,13.75
2/1/24 4:00,75.6,2226.4,13.73
2/1/24 4:10,76.3,2212.3,13.72
2/1/24 4:20,74.8,2213,13.73
2/1/24 4:30,75.9,2211.6,13.72
2/1/24 4:40,75.3,2212.1,13.71
2/1/24 4:50,74.7,2202.5,13.7
2/1/24 5:00,74.2,2197.6,13.7
2/1/24 5:10,75.2,2190.9,13.68
2/1/24 5:20,76.3,2187.2,13.68
2/1/24 5:30,74.3,2181.5,13.68
2/1/24 5:40,73.8,2175.8,13.67
2/1/24 5:50,74.8,2176.4,13.65
2/1/24 6:00,72.8,2176.8,13.66
2/1/24 6:10,74.9,2170.3,13.65
2/1/24 6:20,74.2,2172.9,13.65
2/1/24 6:30,74.2,2170.2,13.64
2/1/24 6:40,74.6,2172.8,13.64
2/1/24 6:50,74.2,2171.6,13.64
2/1/24 7:00,74.5,2164.6,13.63
2/1/24 7:10,73.3,2172.4,13.63
2/1/24 7:20,73.8,2169.4,13.63
2/1/24 7:30,73.5,2166,13.62
2/1/24 7:40,75,2167.1,13.63
2/1/24 7:50,75,2164.4,13.61
2/1/24 8:00,73.4,2166.2,13.62
2/1/24 8:10,72.9,2167.5,13.61
2/1/24 8:20,72.9,2165.7,13.62
2/1/24 8:30,74.1,2170.6,13.62
2/1/24 8:40,73.1,2172.7,13.63
2/1/24 8:50,62.9,2632.1,13.77
2/1/24 9:00,73.2,2311.7,13.56
2/1/24 9:10,73.8,2203.7,13.4
2/1/24 9:20,76.9,2176.8,13.47
2/1/24 9:30,76.5,2500.3,13.42
2/1/24 9:40,73.1,2137.7,13.25
2/1/24 9:50,68.9,1830.5,13.1
2/1/24 10:00,58.4,1719.4,13.28
2/1/24 10:10,68.7,1787.8,13.2
2/1/24 10:20,73.9,1769.9,13.05
2/1/24 10:30,74.6,1641.5,12.92
2/1/24 10:40,74.9,1474.6,12.81
2/1/24 10:50,74.1,1409.3,12.78
2/1/24 11:00,72.7,1421.9,12.79
2/1/24 11:10,73.2,1367.2,12.77
2/1/24 11:20,71,1333.5,12.74
2/1/24 11:30,71.3,1325.8,12.75
2/1/24 11:40,71.1,1358,12.79
2/1/24 11:50,72.2,1366.2,12.85
2/1/24 12:00,70.8,1346.3,12.9
2/1/24 12:10,71,1360.4,12.95
2/1/24 12:20,70.4,1397.3,13.03
2/1/24 12:30,70.1,1400.5,13.11
2/1/24 12:40,69.8,1409.9,13.22
2/1/24 12:50,68.8,1425.1,13.35
2/1/24 13:00,69.2,1418.5,13.44
2/1/24 13:10,65.3,1355.8,13.45
2/1/24 13:20,65.9,1341,13.47
2/1/24 13:30,64.7,1344,13.54
2/1/24 13:40,65.6,1377.5,13.59
2/1/24 13:50,64.9,1466.6,13.64
2/1/24 14:00,63.9,1580,13.74
2/1/24 14:10,66.5,1602.1,13.92
2/1/24 14:20,69,1582,13.97
2/1/24 14:30,66,1595.7,13.97
2/1/24 14:40,66.9,1656.7,13.97
2/1/24 14:50,65.3,1699.5,13.97
2/1/24 15:00,64.7,1757.5,13.97
2/1/24 15:10,65.2,1814.4,13.97
2/1/24 15:20,64.3,1856.3,13.97
2/1/24 15:30,62.6,1933.6,13.98
2/1/24 15:40,61.9,1999.3,14
2/1/24 15:50,60.6,2053.7,14.02
2/1/24 16:00,60.9,2109.8,14.07
2/1/24 16:10,60.3,2177.1,14.11
2/1/24 16:20,59.9,2231.3,14.14
2/1/24 16:30,58.6,2296.7,14.16
2/1/24 16:40,60.8,2341.7,14.17
2/1/24 16:50,60.2,2382.3,14.19
2/1/24 17:00,59.8,2423.5,14.19
2/1/24 17:10,61.9,2460.8,14.19
2/1/24 17:20,60.2,2490.8,14.18
2/1/24 17:30,58.5,2516,14.18
2/1/24 17:40,58.5,2548.4,14.17
2/1/24 17:50,58.1,2540.2,14.16
2/1/24 18:00,60,2577.1,14.17
2/1/24 18:10,59.1,2619.2,14.17
2/1/24 18:20,58.2,2630.9,14.17
2/1/24 18:30,58.7,2648.1,14.19
2/1/24 18:40,58.9,2672.9,14.17
2/1/24 18:50,59.4,2685.8,14.17
2/1/24 19:00,58.9,2721.9,14.19
2/1/24 19:10,59,2737.7,14.17
2/1/24 19:20,57.8,2753,14.17
2/1/24 19:30,58.3,2782.5,14.16
2/1/24 19:40,56.1,2816.4,14.15
2/1/24 19:50,58.9,2832,14.16
2/1/24 20:00,58.3,2852.5,14.14
2/1/24 20:10,57.1,2871,14.13
2/1/24 20:20,56.9,2909.3,14.13
2/1/24 20:30,57,2932.7,14.12
2/1/24 20:40,56.5,2954,14.11
2/1/24 20:50,57.6,2972.9,14.1
2/1/24 21:00,56.4,2974.6,14.09
2/1/24 21:10,57.4,3005.7,14.1
2/1/24 21:20,57.3,3017.4,14.11
2/1/24 21:30,55.9,3041.5,14.11
2/1/24 21:40,56.2,3056.1,14.11
2/1/24 21:50,57.4,3084.6,14.08
2/1/24 22:00,56.6,3077.6,14.07
2/1/24 22:10,56.7,3112.1,14.07
2/1/24 22:20,56,3119.5,14.08
2/1/24 22:30,56,3133.4,14.08
2/1/24 22:40,55.8,3143.8,14.08
2/1/24 22:50,56.4,3124.9,14.05
2/1/24 23:00,59.8,2500.1,13.84
2/1/24 23:10,57.6,3016.2,13.91
2/1/24 23:20,57.2,2804.3,13.88
2/1/24 23:30,57.2,2229.7,13.61
2/1/24 23:40,55.2,1786.9,13.24
2/1/24 23:50,56,1045.3,12.4
2/2/24 0:00,50.7,916.2,12.09
2/2/24 0:10,52.6,1117.2,12.19
2/2/24 0:20,54.3,946.7,11.84
2/2/24 0:30,54,961,11.84
2/2/24 0:40,52.6,1022.1,11.91
2/2/24 0:50,52.2,1112.8,12
2/2/24 1:00,54.5,1279.8,12.12
2/2/24 1:10,54,1443.8,12.25
2/2/24 1:20,55.3,1566.3,12.38
2/2/24 1:30,57.3,1689.7,12.48
2/2/24 1:40,57.8,1768.5,12.55
2/2/24 1:50,58.2,1831.8,12.61
2/2/24 2:00,57.2,1885.2,12.64
2/2/24 2:10,57.5,1928.4,12.67
2/2/24 2:20,56.9,1980.3,12.69
2/2/24 2:30,57.6,2083.2,12.7
2/2/24 2:40,55,2219.3,12.72
2/2/24 2:50,55.1,2330.1,12.73
2/2/24 3:00,53.8,2389.3,12.74
2/2/24 3:10,55.7,2408.7,12.75
2/2/24 3:20,55.1,2395.3,12.75
2/2/24 3:30,53.9,2387,12.75
2/2/24 3:40,54.7,2383.8,12.76
2/2/24 3:50,55.7,2384.7,12.72
2/2/24 4:00,56.9,2384.5,12.74
2/2/24 4:10,56.3,2383.6,12.7
2/2/24 4:20,54.1,2413.5,12.69
2/2/24 4:30,55.7,2461.7,12.68
2/2/24 4:40,54.1,2473.8,12.69
2/2/24 4:50,55.9,2507.8,12.71
2/2/24 5:00,54.6,2562.6,12.68
2/2/24 5:10,55.6,2602.3,12.7
2/2/24 5:20,54.4,2642.1,12.72
2/2/24 5:30,58.9,1776.9,12.23
2/2/24 5:40,58.4,1790.9,12.11
2/2/24 5:50,58,1258.3,11.6
2/2/24 6:00,53.2,1512.8,11.97
2/2/24 6:10,56.6,1065.9,11.45
2/2/24 6:20,60.7,1041.4,11.42
2/2/24 6:30,60.7,1088.7,11.45
2/2/24 6:40,59.8,1266.6,11.55
2/2/24 6:50,60.3,1374.2,11.67
2/2/24 7:00,63,1438.8,11.75
2/2/24 7:10,61.3,1558.5,11.82
2/2/24 7:20,61.3,1664.4,11.87
2/2/24 7:30,58.8,1742.8,11.93
2/2/24 7:40,60.2,1752.5,11.93
2/2/24 7:50,57.8,1789.9,11.93
2/2/24 8:00,58.8,1940.9,12.04
2/2/24 8:10,58.7,2020.8,12.19
2/2/24 8:20,62.2,2062.4,12.27
2/2/24 8:30,61,2028.5,12.29
2/2/24 8:40,60.8,1977.3,12.28
2/2/24 8:50,61,1984.2,12.29
2/2/24 9:00,61.1,2017,12.31
2/2/24 9:10,60.8,2072.1,12.37
2/2/24 9:20,61,2150.9,12.45
2/2/24 9:30,60.3,2248.1,12.53
2/2/24 9:40,58.3,2348.3,12.63
2/2/24 9:50,57,2440.6,12.66
2/2/24 10:00,57.3,2513.7,12.72
2/2/24 10:10,58.5,2565.3,12.8
2/2/24 10:20,56.7,2595.6,12.91
2/2/24 10:30,56.3,2609.4,13.04
2/2/24 10:40,55,2503,13.12
2/2/24 10:50,45.1,1962,13.73
