datetime,Tryptophan RFU,CDOM RFU,Temperature
1/1/2024 0:00,43.2,3784.7,14.67
1/1/2024 0:10,43.6,3780.8,14.64
1/1/2024 0:20,42.6,3765.4,14.6
1/1/2024 0:30,42,3752,14.56
1/1/2024 0:40,42.8,3739.3,14.52
1/1/2024 0:50,42,3728.9,14.48
1/1/2024 1:00,42.6,3712,14.46
1/1/2024 1:10,41.7,3702.8,14.42
1/1/2024 1:20,42,3690.8,14.4
1/1/2024 1:30,43.3,3671.9,14.36
1/1/2024 1:40,41.6,3659,14.31
1/1/2024 1:50,42.5,3649.8,14.29
1/1/2024 2:00,42.7,3646.8,14.26
1/1/2024 2:10,42.7,3639.6,14.25
1/1/2024 2:20,41.4,3632.2,14.22
1/1/2024 2:30,42,3625.5,14.17
1/1/2024 2:40,43.1,3619.9,14.16
1/1/2024 2:50,42.4,3628.8,14.12
1/1/2024 3:00,42,3629.5,14.07
1/1/2024 3:10,43.2,3634.2,14.06
1/1/2024 3:20,42.7,3637.6,14.04
1/1/2024 3:30,41.8,3641.3,13.99
1/1/2024 3:40,43.3,3639.1,13.98
1/1/2024 3:50,41,3630.3,13.94
1/1/2024 4:00,42,3606.7,13.9
1/1/2024 4:10,43.3,3620.2,13.89
1/1/2024 4:20,44.4,3609.9,13.87
1/1/2024 4:30,43.5,3584.6,13.85
1/1/2024 4:40,41.7,3522.2,13.84
1/1/2024 4:50,41.9,3525.3,13.81
1/1/2024 5:00,43.5,3548,13.79
1/1/2024 5:10,43.1,3516.1,13.77
1/1/2024 5:20,43.7,3497.7,13.75
1/1/2024 5:30,43.1,3474.1,13.73
1/1/2024 5:40,43.4,3467,13.72
1/1/2024 5:50,42.1,3435.8,13.71
1/1/2024 6:00,42.5,3432.2,13.7
1/1/2024 6:10,43,3411.4,13.68
1/1/2024 6:20,43,3404.4,13.66
1/1/2024 6:30,42.2,3392.2,13.59
1/1/2024 6:40,42.5,3383,13.62
1/1/2024 6:50,42.7,3376.5,13.62
1/1/2024 7:00,43.4,3364.7,13.59
1/1/2024 7:10,42.1,3361.6,13.58
1/1/2024 7:20,43,3341,13.55
1/1/2024 7:30,42.7,3336.2,13.53
1/1/2024 7:40,42.9,3341.6,13.47
1/1/2024 7:50,42.2,3331.4,13.51
1/1/2024 8:00,42.7,3318.7,13.52
1/1/2024 8:10,42.4,3304.2,13.51
1/1/2024 8:20,44,3301.2,13.47
1/1/2024 8:30,42.7,3282.5,13.42
1/1/2024 8:40,42.8,3287.6,13.48
1/1/2024 8:50,42.4,3265.7,13.49
