datetime,Tryptophan RFU,CDOM RFU,Temperature
7/1/24 0:02,88,2075.4,25.36
7/1/24 0:07,90.1,2073.3,25.34
7/1/24 0:12,89.7,2074.2,25.32
7/1/24 0:17,88.4,2074.5,25.29
7/1/24 0:22,89.1,2073.2,25.27
7/1/24 0:27,89.6,2077.8,25.25
7/1/24 0:32,88.5,2079.5,25.23
7/1/24 0:37,89,2078.2,25.21
7/1/24 0:42,88.6,2081.3,25.17
7/1/24 0:47,87.5,2083.6,25.15
7/1/24 0:52,88.5,2086.3,25.13
7/1/24 0:57,88.7,2087.8,25.1
7/1/24 1:02,90.2,2086.8,25.06
7/1/24 1:07,89.5,2088.5,25.04
7/1/24 1:12,90.1,2091.2,25.01
7/1/24 1:17,88.9,2090,24.99
7/1/24 1:22,88.1,2090.4,24.96
7/1/24 1:27,89.6,2092,24.92
7/1/24 1:32,89.8,2091,24.9
7/1/24 1:37,89.5,2095.8,24.88
7/1/24 1:42,90.2,2092.2,24.84
7/1/24 1:47,89.5,2095.9,24.82
7/1/24 1:52,90.6,2093.9,24.78
7/1/24 1:57,90.3,2100.3,24.75
7/1/24 2:02,90.5,2100.7,24.7
7/1/24 2:07,90,2104,24.66
7/1/24 2:12,90.7,2103.3,24.63
7/1/24 2:17,89.4,2103.8,24.6
7/1/24 2:22,90.6,2108,24.55
7/1/24 2:27,90.7,2102.9,24.52
7/1/24 2:32,90.3,2105.7,24.49
7/1/24 2:37,90.9,2108.5,24.45
7/1/24 2:42,90.4,2108.8,24.38
7/1/24 2:47,88.9,2112.6,24.33
7/1/24 2:52,90.2,2109.7,24.29
7/1/24 2:57,89.9,2106.4,24.25
7/1/24 3:02,91.2,2109.8,24.21
7/1/24 3:07,91.8,2116,24.16
7/1/24 3:12,88.4,2116.4,24.11
7/1/24 3:17,91.6,2116.5,24.08
7/1/24 3:22,89.4,2115.1,24.04
7/1/24 3:27,88.5,2117.6,24
7/1/24 3:32,91.5,2118.7,23.96
7/1/24 3:37,88.3,2118.8,23.92
7/1/24 3:42,89.8,2120,23.86
7/1/24 3:47,90.2,2120,23.82
7/1/24 3:52,90.3,2116.5,23.79
7/1/24 3:57,90.1,2117.4,23.74
7/1/24 4:02,91.3,2118.5,23.69
7/1/24 4:07,90.3,2113.8,23.67
7/1/24 4:12,90.3,2114,23.62
7/1/24 4:17,90.4,2116.6,23.57
7/1/24 4:22,91,2115.5,23.54
7/1/24 4:27,91,2116.4,23.51
7/1/24 4:32,91.6,2113.9,23.46
7/1/24 4:37,91.4,2115.4,23.43
7/1/24 4:42,90.4,2116.9,23.39
7/1/24 4:47,90.5,2114,23.36
7/1/24 4:52,92.4,2114.5,23.33
7/1/24 4:57,91.3,2115.5,23.29
7/1/24 5:02,90.9,2110.8,23.25
7/1/24 5:07,91,2111.8,23.23
7/1/24 5:12,92.3,2112,23.19
7/1/24 5:17,90.7,2111.7,23.16
7/1/24 5:22,90,2108.4,23.14
7/1/24 5:27,90.6,2112.5,23.1
7/1/24 5:32,90.8,2109.4,23.07
7/1/24 5:37,93.2,2109.4,23.04
7/1/24 5:42,91.7,2106.8,23.02
7/1/24 5:47,92.3,2112,22.98
7/1/24 5:52,91.2,2107.9,22.95
