datetime,Tryptophan RFU,CDOM RFU,Temperature
6/1/24 0:05,39.4,1973.2,21.74
6/1/24 0:15,39.7,1997.6,21.68
6/1/24 0:25,39.7,2025.8,21.61
6/1/24 0:35,39,2034.9,21.53
6/1/24 0:45,39.8,2021.5,21.48
6/1/24 0:55,38.9,2017.5,21.41
6/1/24 1:05,39.9,2036.7,21.33
6/1/24 1:15,37.8,2012.2,21.26
6/1/24 1:25,40,2014,21.2
6/1/24 1:35,39.5,2014.8,21.14
6/1/24 1:45,39.2,2020.6,21.07
6/1/24 1:55,40.2,2035,21
6/1/24 2:05,39.2,2000.3,20.9
6/1/24 2:15,40.1,1944.3,20.81
6/1/24 2:25,39.7,2022.9,20.74
6/1/24 2:35,39.8,2028.7,20.68
6/1/24 2:45,39.2,2045,20.62
6/1/24 2:55,38.3,2027.3,20.54
6/1/24 3:05,40.7,2027.7,20.46
6/1/24 3:15,39.1,2052.6,20.39
6/1/24 3:25,40.2,2052.6,20.33
6/1/24 3:35,39.7,2039.9,20.26
6/1/24 3:45,40,2045.3,20.19
6/1/24 3:55,40.3,2021.9,20.12
6/1/24 4:05,39.7,2050.2,20.06
6/1/24 4:15,39.7,2059,19.99
6/1/24 4:25,39.6,2051.6,19.93
6/1/24 4:35,39.5,2048,19.87
6/1/24 4:45,38.7,2052.6,19.8
6/1/24 4:55,40.1,2064.1,19.74
6/1/24 5:05,40.3,2061.4,19.7
6/1/24 5:15,41.1,2059.9,19.64
6/1/24 5:25,40,2050.9,19.6
6/1/24 5:35,41,2039.5,19.54
6/1/24 5:45,41.1,2053.2,19.48
6/1/24 5:55,39.8,2060.1,19.43
6/1/24 6:05,40.7,2069.8,19.38
6/1/24 6:15,39.2,2069.7,19.33
6/1/24 6:25,40.7,2072.3,19.29
6/1/24 6:35,40.9,2058.2,19.24
6/1/24 6:45,40.7,2065,19.2
6/1/24 6:55,40.7,2067.6,19.16
6/1/24 7:05,41,2062,19.12
6/1/24 7:15,40.4,2075,19.08
6/1/24 7:25,40.1,2004.8,19.05
6/1/24 7:35,40.7,2071.6,19.01
6/1/24 7:45,41.1,2070.2,18.98
6/1/24 7:55,39.8,2048.4,18.95
6/1/24 8:05,40.8,2056,18.93
6/1/24 8:15,43.1,2053.6,18.9
6/1/24 8:25,40.1,2046.4,18.88
6/1/24 8:35,39,2057.4,18.86
6/1/24 8:45,40.1,2070.7,18.84
6/1/24 8:55,40.2,2061.9,18.82
6/1/24 9:05,39.6,2069.8,18.8
6/1/24 9:15,40.1,2070.3,18.79
6/1/24 9:25,40.6,2056.2,18.78
6/1/24 9:35,40.8,2066.4,18.78
6/1/24 9:45,41.3,2070.9,18.78
6/1/24 9:55,41.7,2074.1,18.79
6/1/24 10:05,41.4,2077.9,18.8
6/1/24 10:15,40.4,2064.4,18.8
6/1/24 10:25,39.9,2055.9,18.82
6/1/24 10:35,39.7,2056.5,18.83
6/1/24 10:45,41.9,2073,18.85
6/1/24 10:55,40.1,2064.8,18.87
6/1/24 11:05,39.1,2076.7,18.9
6/1/24 11:15,40.2,2052.4,18.96
6/1/24 11:25,40.3,2066.7,19.05
6/1/24 11:35,40.6,2038.2,19.13
6/1/24 11:45,40.1,2036.4,19.25
6/1/24 11:55,40,2029.7,19.33
6/1/24 12:05,41,2012.5,19.49
6/1/24 12:15,40.2,2008.9,19.63
6/1/24 12:25,38.9,1980.9,19.75
6/1/24 12:35,38.9,2000.1,19.91
6/1/24 12:45,39.7,1976.6,20.1
6/1/24 12:55,38.8,1971.1,20.24
6/1/24 13:05,39.8,1964.9,20.39
6/1/24 13:15,39.5,1941.5,20.54
6/1/24 13:25,38.8,1936.4,20.68
6/1/24 13:35,39.2,1946.2,20.86
6/1/24 13:45,38.3,1932,20.98
6/1/24 13:55,40.1,1942,21.09
6/1/24 14:05,38.5,1938.8,21.21
6/1/24 14:15,39.2,1933.6,21.32
6/1/24 14:25,38.7,1910,21.4
6/1/24 14:35,40.3,1919.9,21.5
6/1/24 14:45,37,1911.9,21.56
6/1/24 14:55,39,1915.8,21.62
6/1/24 15:05,39.2,1904.3,21.68
6/1/24 15:15,39.7,1894.2,21.72
6/1/24 15:25,40,1889.9,21.75
6/1/24 15:35,38.9,1885.2,21.76
6/1/24 15:45,39.3,1885,21.78
6/1/24 15:55,39.5,1893.1,21.8
6/1/24 16:05,37.7,1866.5,21.81
6/1/24 16:15,37.9,1869.5,21.82
6/1/24 16:25,38.8,1875,21.83
6/1/24 16:35,39.2,1876.4,21.84
6/1/24 16:45,37.5,1864.4,21.85
6/1/24 16:55,39.8,1862.2,21.86
6/1/24 17:05,39.1,1858.8,21.86
6/1/24 17:15,38.2,1861.9,21.89
6/1/24 17:25,39.1,1854.3,21.93
6/1/24 17:35,38.4,1857.3,21.96
6/1/24 17:45,38.4,1856,21.99
6/1/24 17:55,38.8,1855.5,22.02
6/1/24 18:05,38.3,1853.6,22.07
6/1/24 18:15,38.8,1860.1,22.1
6/1/24 18:25,39.3,1848,22.13
6/1/24 18:35,39.4,1856.7,22.17
6/1/24 18:45,37.8,1850,22.21
6/1/24 18:55,39.5,1837.6,22.22
6/1/24 19:05,38.1,1845.6,22.25
6/1/24 19:15,38.8,1828.1,22.26
6/1/24 19:25,36.7,1830.6,22.28
