datetime,Tryptophan RFU,CDOM RFU,Temperature
3/1/24 0:00,70.5,2134.8,15.8
3/1/24 0:10,71,2128.1,15.76
3/1/24 0:20,70.6,2127.5,15.75
3/1/24 0:30,70.3,2150.4,15.73
3/1/24 0:40,71.2,2150.9,15.72
3/1/24 0:50,71.5,2175.4,15.7
3/1/24 1:00,68.8,2172,15.67
3/1/24 1:10,70.4,2181.5,15.67
3/1/24 1:20,71.5,2185.6,15.65
3/1/24 1:30,71.5,2162,15.64
3/1/24 1:40,70.1,2167.9,15.62
3/1/24 1:50,69.3,2171.3,15.62
3/1/24 2:00,71.2,2181.2,15.6
3/1/24 2:10,71.4,2174,15.59
3/1/24 2:20,70.7,2170.8,15.57
3/1/24 2:30,71.4,2224.9,15.56
3/1/24 2:40,71.1,2206,15.56
3/1/24 2:50,70.1,2226.6,15.54
3/1/24 3:00,69.8,2221,15.53
3/1/24 3:10,69.1,2214,15.51
3/1/24 3:20,71.1,2232.1,15.5
3/1/24 3:30,70.8,2241.2,15.49
3/1/24 3:40,70,2229.7,15.46
3/1/24 3:50,70.6,2236.3,15.46
3/1/24 4:00,70.7,2246.7,15.44
3/1/24 4:10,71.1,2242.2,15.41
3/1/24 4:20,70.6,2254.8,15.41
3/1/24 4:30,69.9,2261,15.37
3/1/24 4:40,69.8,2272.4,15.35
3/1/24 4:50,71.2,2259.5,15.33
3/1/24 5:00,68.4,2268.8,15.3
3/1/24 5:10,70.3,2244.8,15.28
3/1/24 5:20,71.9,2291.9,15.26
3/1/24 5:30,69.5,2281.8,15.23
3/1/24 5:40,71.4,2288.2,15.22
3/1/24 5:50,71.1,2282.2,15.19
3/1/24 6:00,70.5,2283.3,15.16
3/1/24 6:10,70.6,2285,15.12
3/1/24 6:20,71.4,2301.9,15.11
3/1/24 6:30,70.6,2300.6,15.1
3/1/24 6:40,70.1,2326.1,15.08
3/1/24 6:50,70.3,2321.1,15.06
3/1/24 7:00,70.9,2327.4,15.05
3/1/24 7:10,71.4,2344.8,15.02
3/1/24 7:20,71.9,2331.4,15.02
3/1/24 7:30,70.4,2342.3,15
3/1/24 7:40,70.7,2331.2,14.99
3/1/24 7:50,71.7,2333.6,14.98
3/1/24 8:00,71.7,2338,14.99
3/1/24 8:10,71.6,2302.7,15.01
3/1/24 8:20,72.6,2315.3,15.03
3/1/24 8:30,71.8,2331.5,15.06
3/1/24 8:40,70.9,2368.3,15.1
3/1/24 8:50,72.7,2364,15.14
3/1/24 9:00,72.5,2389,15.19
3/1/24 9:10,70.6,2342.8,15.24
3/1/24 9:20,71.8,2335.2,15.28
3/1/24 9:30,71.3,2324.8,15.29
3/1/24 9:40,70.1,2301,15.3
3/1/24 9:50,71.3,2462.4,15.32
3/1/24 10:00,71,2444.8,15.37
3/1/24 10:10,70.2,2431.1,15.44
3/1/24 10:20,70.9,2361.2,15.53
3/1/24 10:30,69.9,2332,15.68
3/1/24 10:40,70,2339.8,15.82
3/1/24 10:50,70.4,2364.7,15.94
3/1/24 11:00,70.6,2290.6,16.04
3/1/24 11:10,69.9,2334.4,16.19
3/1/24 11:20,68.7,2302.7,16.33
3/1/24 11:30,72.2,2314.8,16.48
3/1/24 11:40,70.6,2268.2,16.63
3/1/24 11:50,71,2294.9,16.76
3/1/24 12:00,71.7,2270.6,16.88
3/1/24 12:10,70.4,2271.3,16.94
3/1/24 12:20,70.1,2256,17.02
3/1/24 12:30,71.5,2213.1,17.12
3/1/24 12:40,69.7,2252.4,17.22
3/1/24 12:50,71,2182.8,17.31
3/1/24 13:00,69.9,2133,17.42
3/1/24 13:10,71.1,2183.6,17.54
3/1/24 13:20,71,2136.3,17.63
3/1/24 13:30,70.5,2149.2,17.72
3/1/24 13:40,69.8,2166.9,17.83
3/1/24 13:50,69.2,2158.7,17.92
3/1/24 14:00,70,2133.6,18.02
3/1/24 14:10,69.2,2148.4,18.1
3/1/24 14:20,69.9,2138.4,18.17
3/1/24 14:30,69.2,2117.2,18.25
3/1/24 14:40,70.2,2131.9,18.29
3/1/24 14:50,70.1,2129,18.35
3/1/24 15:00,71,2092.1,18.42
3/1/24 15:10,68.2,2107.9,18.48
3/1/24 15:20,70.4,2096.4,18.53
3/1/24 15:30,69.5,2102.5,18.57
3/1/24 15:40,68.9,2077,18.62
3/1/24 15:50,70.9,2060.9,18.63
3/1/24 16:00,69.5,2070.9,18.62
3/1/24 16:10,70.1,2072.4,18.59
3/1/24 16:20,68.7,2060.1,18.55
3/1/24 16:30,69,2058.1,18.53
3/1/24 16:40,68.7,2056.3,18.48
3/1/24 16:50,70,2066.6,18.42
3/1/24 17:00,67.5,2065.1,18.34
3/1/24 17:10,69.2,2059.9,18.29
3/1/24 17:20,68.8,2102.3,18.23
3/1/24 17:30,68.7,2106,18.17
3/1/24 17:40,68,2128.6,18.12
3/1/24 17:50,68.8,2147.8,18.05
3/1/24 18:00,69.7,2142,18.01
3/1/24 18:10,68,2150.9,17.96
3/1/24 18:20,68.5,2199,17.88
3/1/24 18:30,68.6,2219.4,17.81
3/1/24 18:40,68.6,2226.3,17.76
3/1/24 18:50,68.1,2245.2,17.69
3/1/24 19:00,68,2264,17.62
3/1/24 19:10,69.6,2273.6,17.53
3/1/24 19:20,69.1,2284.5,17.46
3/1/24 19:30,67.1,2297.7,17.35
3/1/24 19:40,68.5,2302.8,17.27
3/1/24 19:50,69,2315.1,17.16
3/1/24 20:00,69.1,2319.9,17.06
3/1/24 20:10,68.6,2321.2,16.98
3/1/24 20:20,69.3,2315.1,16.89
3/1/24 20:30,68,2336.7,16.78
3/1/24 20:40,70.1,2332.1,16.69
3/1/24 20:50,69.6,2340.2,16.6
3/1/24 21:00,69.3,2335.3,16.54
3/1/24 21:10,69.1,2325,16.47
3/1/24 21:20,69.4,2312.8,16.4
3/1/24 21:30,70.8,2352.7,16.34
3/1/24 21:40,69.9,2358.3,16.28
3/1/24 21:50,70.7,2339.3,16.24
3/1/24 22:00,68.3,2359.7,16.21
3/1/24 22:10,70.7,2346.8,16.15
3/1/24 22:20,69.9,2368,16.09
3/1/24 22:30,69.3,2360.6,16.02
3/1/24 22:40,69.8,2351.9,15.97
3/1/24 22:50,69.8,2360.2,15.92
3/1/24 23:00,70.9,2355.3,15.86
3/1/24 23:10,70.4,2355,15.8
3/1/24 23:20,70.5,2369.6,15.75
3/1/24 23:30,70.5,2356.6,15.71
3/1/24 23:40,70,2360.4,15.66
3/1/24 23:50,70,2362,15.63
3/2/24 0:00,70.3,2329,15.59
3/2/24 0:10,70.9,2364.2,15.57
3/2/24 0:20,70.9,2361.8,15.54
3/2/24 0:30,70.2,2342.3,15.52
3/2/24 0:40,70.2,2369.8,15.49
3/2/24 0:50,71.4,2373.6,15.48
3/2/24 1:00,69.9,2367,15.46
3/2/24 1:10,71,2369.2,15.43
3/2/24 1:20,70.6,2363.6,15.41
3/2/24 1:30,71.6,2365.4,15.39
3/2/24 1:40,71.3,2369.1,15.37
3/2/24 1:50,70.5,2364.5,15.36
3/2/24 2:00,70,2321.1,15.34
3/2/24 2:10,71.7,2334.4,15.33
3/2/24 2:20,70.8,2349.5,15.33
