datetime,Tryptophan RFU,CDOM RFU,Temperature
5/1/24 0:05,59.4,2638.7,21.23
5/1/24 0:15,59,2645.5,21.16
5/1/24 0:25,57.7,2647.6,21.08
5/1/24 0:35,58.2,2652,21.01
5/1/24 0:45,58.1,2671.5,20.92
5/1/24 0:55,58.2,2683.4,20.84
5/1/24 1:05,58.6,2674,20.77
5/1/24 1:15,60.4,2673.2,20.7
5/1/24 1:25,58.5,2669.3,20.63
5/1/24 1:35,59.1,2676.8,20.55
5/1/24 1:45,58.1,2674.5,20.48
5/1/24 1:55,57.9,2689.1,20.4
5/1/24 2:05,57.2,2705.9,20.32
5/1/24 2:15,59.1,2693,20.24
5/1/24 2:25,59.2,2700.3,20.15
5/1/24 2:35,60.3,2680.7,20.06
5/1/24 2:45,58.7,2701.4,19.99
5/1/24 2:55,59.9,2701.6,19.91
5/1/24 3:05,59.1,2706.4,19.82
5/1/24 3:15,58.4,2681.6,19.74
5/1/24 3:25,59.8,2694.5,19.67
5/1/24 3:35,58,2699,19.59
5/1/24 3:45,60.7,2714,19.52
5/1/24 3:55,59,2694.5,19.45
5/1/24 4:05,59.4,2705.2,19.39
5/1/24 4:15,59.9,2713.4,19.32
5/1/24 4:25,58.2,2709.8,19.25
5/1/24 4:35,58.9,2693.8,19.19
5/1/24 4:45,58.9,2702.1,19.14
5/1/24 4:55,57.3,2702.2,19.08
5/1/24 5:05,59.3,2711.2,19.01
5/1/24 5:15,58.7,2715.6,18.96
5/1/24 5:25,58.5,2718.5,18.9
5/1/24 5:35,60,2710.4,18.85
5/1/24 5:45,57.9,2708.9,18.79
5/1/24 5:55,57.9,2687.6,18.74
5/1/24 6:05,58.7,2714,18.7
5/1/24 6:15,59,2688.5,18.65
5/1/24 6:25,59.3,2710.3,18.61
5/1/24 6:35,58.1,2730.6,18.56
5/1/24 6:45,60.8,2697.2,18.52
5/1/24 6:55,60,2712,18.48
5/1/24 7:05,58.8,2689.2,18.45
5/1/24 7:15,59.7,2714.1,18.41
5/1/24 7:25,60,2693.6,18.38
5/1/24 7:35,59.5,2715.9,18.35
5/1/24 7:45,59.3,2717.4,18.32
5/1/24 7:55,59.4,2713.9,18.3
5/1/24 8:05,59.2,2720.3,18.28
5/1/24 8:15,60.8,2714.4,18.27
5/1/24 8:25,59.2,2710.7,18.26
5/1/24 8:35,60.3,2720.1,18.25
5/1/24 8:45,58.7,2757.6,18.24
5/1/24 8:55,59.1,2758.9,18.24
5/1/24 9:05,58.3,2719.3,18.24
5/1/24 9:15,59.6,2771.7,18.26
5/1/24 9:25,59.8,2761.7,18.3
5/1/24 9:35,60.6,2724.9,18.35
