dateime,Tryptophan RFU,CDOM RFU,Temperature
11/1/23 0:00,87.9,2688.7,15.6
11/1/23 0:10,88.2,2709.1,15.56
11/1/23 0:20,87.9,2717.6,15.54
11/1/23 0:30,88.5,2719.6,15.53
11/1/23 0:40,87.3,2725.3,15.5
11/1/23 0:50,89.7,2729.8,15.47
11/1/23 1:00,88,2738.9,15.45
11/1/23 1:10,87.5,2743.3,15.42
11/1/23 1:20,89.7,2744.4,15.4
11/1/23 1:30,88.8,2746.1,15.37
11/1/23 1:40,89.5,2754.7,15.35
11/1/23 1:50,89.3,2757.5,15.33
11/1/23 2:00,89.7,2760.5,15.29
11/1/23 2:10,89.4,2765.3,15.28
11/1/23 2:20,88.3,2771.4,15.25
11/1/23 2:30,88.5,2773,15.24
11/1/23 2:40,90.2,2775.4,15.2
11/1/23 2:50,90.9,2786.2,15.18
11/1/23 3:00,90.5,2787.2,15.16
11/1/23 3:10,88.1,2793.5,15.13
11/1/23 3:20,88,2796.5,15.1
11/1/23 3:30,88.8,2799.9,15.07
11/1/23 3:40,90.3,2806.2,15.05
11/1/23 3:50,88.8,2812,15.02
11/1/23 4:00,89.7,2812.4,15
11/1/23 4:10,89.4,2815.5,14.98
11/1/23 4:20,89.2,2822.9,14.95
11/1/23 4:30,90,2828.2,14.92
11/1/23 4:40,89.3,2829.1,14.89
11/1/23 4:50,88.7,2828,14.86
11/1/23 5:00,89.5,2833.4,14.83
11/1/23 5:10,90.6,2837.3,14.8
11/1/23 5:20,89.5,2820.1,14.77
11/1/23 5:30,88.4,2843.2,14.73
11/1/23 5:40,89.7,2844.7,14.69
11/1/23 5:50,89.6,2843.4,14.65
11/1/23 6:00,91,2844.1,14.62
11/1/23 6:10,90.6,2848.8,14.59
11/1/23 6:20,89.4,2849.5,14.55
11/1/23 6:30,90.8,2851,14.51
11/1/23 6:40,89.7,2853.4,14.48
11/1/23 6:50,88.8,2849,14.45
11/1/23 7:00,90.9,2853.7,14.4
11/1/23 7:10,89.3,2847.3,14.36
11/1/23 7:20,88.8,2852.4,14.32
11/1/23 7:30,89.9,2853.6,14.29
11/1/23 7:40,89.3,2851.9,14.25
11/1/23 7:50,90.8,2845.2,14.25
11/1/23 8:00,95.9,2844.8,14.17
11/1/23 8:10,88.6,2842.4,14.17
11/1/23 8:20,90.5,2843,14.11
11/1/23 8:30,89.6,2846.6,14.1
11/1/23 8:40,90.4,2845.4,14.1
11/1/23 8:50,441.9,2824.9,14.09
11/1/23 9:00,90.1,2840.7,14.08
11/1/23 9:10,93.9,2834,14.09
11/1/23 9:20,581.8,2827.8,14.07
11/1/23 9:30,92.9,2829.9,14.06
11/1/23 9:40,90,2832.3,14.08
11/1/23 9:50,325.5,2827.4,14.11
11/1/23 10:00,89.1,2822.9,14.14
11/1/23 10:10,241.7,2805.8,14.15
11/1/23 10:20,89.5,2813.8,14.21
11/1/23 10:30,90.4,2807.7,14.21
11/1/23 10:40,89.3,2811.9,14.25
11/1/23 10:50,90.4,2799.4,14.28
11/1/23 11:00,90.7,2801.9,14.31
11/1/23 11:10,93.1,2798,14.38
11/1/23 11:20,92.7,2791.6,14.43
11/1/23 11:30,91.1,2782,14.5
11/1/23 11:40,101,2766,14.57
11/1/23 11:50,89.8,2756.1,14.65
11/1/23 12:00,92.1,2736.1,14.72
11/1/23 12:10,91,2730.4,14.8
11/1/23 12:20,91.9,2719.3,14.87
11/1/23 12:30,98.3,2717.9,14.94
11/1/23 12:40,98.1,2712,14.99
11/1/23 12:50,106.9,2705.2,15.02
11/1/23 13:00,96.9,2693.3,15.05
11/1/23 13:10,92.8,2692.4,15.09
11/1/23 13:20,87.5,2647.3,15.1
11/1/23 13:30,87.3,2675.6,15.14
11/1/23 13:40,87.5,2667.5,15.15
11/1/23 13:50,87.1,2670.8,15.16
11/1/23 14:00,87.4,2659.3,15.17
11/1/23 14:10,86.3,2657.3,15.2
11/1/23 14:20,87.5,2642.9,15.23
11/1/23 14:30,88.2,2614.3,15.25
11/1/23 14:40,86.1,2622.3,15.26
11/1/23 14:50,86.6,2590.4,15.28
11/1/23 15:00,86.7,2624.4,15.3
11/1/23 15:10,86.9,2612.3,15.34
11/1/23 15:20,85.2,2613.5,15.37
11/1/23 15:30,84.9,2609.2,15.41
11/1/23 15:40,234.2,2572,15.4
11/1/23 15:50,86.5,2567.3,15.5
11/1/23 16:00,85.7,2579.5,15.55
11/1/23 16:10,85.6,2576.5,15.58
11/1/23 16:20,85.1,2570.7,15.64
11/1/23 16:30,86.4,2578.9,15.68
11/1/23 16:40,85,2580.1,15.74
11/1/23 16:50,84.5,2580.8,15.79
11/1/23 17:00,85.6,2583.5,15.84
11/1/23 17:10,84.8,2582.2,15.89
11/1/23 17:20,85.5,2577.5,15.95
11/1/23 17:30,86,2578.9,16.01
11/1/23 17:40,87.3,2554.9,16.05
11/1/23 17:50,84.2,2583.3,16.1
11/1/23 18:00,85.3,2576,16.15
11/1/23 18:10,85.6,2572,16.18
11/1/23 18:20,85.7,2580.5,16.22
11/1/23 18:30,84.9,2583.7,16.26
11/1/23 18:40,83.9,2576.4,16.28
11/1/23 18:50,84.3,2571.5,16.31
11/1/23 19:00,85,2571.3,16.33
11/1/23 19:10,85.6,2569.9,16.35
11/1/23 19:20,84.9,2569.7,16.36
11/1/23 19:30,86.3,2570.2,16.38
11/1/23 19:40,83.9,2565.4,16.39
11/1/23 19:50,84.7,2566.2,16.39
11/1/23 20:00,85.2,2562.4,16.4
11/1/23 20:10,84.9,2565.8,16.4
11/1/23 20:20,84.3,2564.4,16.4
11/1/23 20:30,85.2,2565.4,16.39
11/1/23 20:40,85.2,2559.1,16.38
11/1/23 20:50,85.6,2560.4,16.37
11/1/23 21:00,85.4,2560.8,16.37
11/1/23 21:10,85.8,2560.3,16.36
11/1/23 21:20,84.2,2563.1,16.35
11/1/23 21:30,84.3,2567.3,16.34
11/1/23 21:40,85,2568.2,16.32
11/1/23 21:50,85.2,2574.2,16.3
11/1/23 22:00,85.4,2570.3,16.29
11/1/23 22:10,83.9,2578.4,16.27
11/1/23 22:20,84,2574.4,16.24
11/1/23 22:30,86.2,2580.3,16.2
11/1/23 22:40,84.9,2587.1,16.19
11/1/23 22:50,85.1,2590.2,16.16
11/1/23 23:00,86.3,2593.5,16.13
11/1/23 23:10,85.5,2599.1,16.11
11/1/23 23:20,86,2604.7,16.07
11/1/23 23:30,84.1,2612.5,16.03
11/1/23 23:40,85.6,2630.4,16
11/1/23 23:50,84.5,2642.1,15.97
11/2/23 0:00,85.1,2640.5,15.95
11/2/23 0:10,86.6,2657.6,15.91
11/2/23 0:20,84.9,2660.4,15.88
11/2/23 0:30,84.7,2668.6,15.83
11/2/23 0:40,84.3,2679.4,15.79
11/2/23 0:50,85.3,2683.5,15.75
11/2/23 1:00,85,2683.8,15.71
11/2/23 1:10,85.2,2693.6,15.67
11/2/23 1:20,85.5,2698.4,15.63
11/2/23 1:30,84.8,2708.3,15.58
11/2/23 1:40,85.8,2709.4,15.54
11/2/23 1:50,86.4,2713.6,15.5
11/2/23 2:00,85.7,2712.7,15.46
11/2/23 2:10,86.6,2718.3,15.42
11/2/23 2:20,84.5,2719.6,15.39
11/2/23 2:30,84.9,2724.5,15.35
11/2/23 2:40,87.3,2723.4,15.33
11/2/23 2:50,86.1,2726.8,15.29
11/2/23 3:00,84.8,2728.3,15.28
11/2/23 3:10,85.8,2729.1,15.25
11/2/23 3:20,85.1,2736.1,15.22
11/2/23 3:30,85.8,2739.2,15.18
11/2/23 3:40,86.8,2736.9,15.16
11/2/23 3:50,86.4,2741.9,15.13
11/2/23 4:00,86.8,2744.5,15.1
11/2/23 4:10,87.2,2746.5,15.08
