Time America/Tijuana UTC-08:00,Temperature
11/1/2024 0:04:30,15.97
11/1/2024 0:09:30,15.96
11/1/2024 0:14:30,15.96
11/1/2024 0:19:30,15.94
11/1/2024 0:24:30,15.93
11/1/2024 0:29:30,15.92
11/1/2024 0:34:30,15.91
11/1/2024 0:39:30,15.89
11/1/2024 0:44:30,15.87
11/1/2024 0:49:30,15.86
11/1/2024 0:54:30,15.85
11/1/2024 0:59:30,15.84
11/1/2024 1:04:30,15.83
11/1/2024 1:09:30,15.82
11/1/2024 1:14:30,15.81
11/1/2024 1:19:30,15.8
11/1/2024 1:24:30,15.78
11/1/2024 1:29:30,15.77
11/1/2024 1:34:30,15.75
11/1/2024 1:39:30,15.73
11/1/2024 1:44:30,15.71
11/1/2024 1:49:30,15.7
11/1/2024 1:54:30,15.68
11/1/2024 1:59:30,15.67
11/1/2024 2:04:30,15.65
11/1/2024 2:09:30,15.64
11/1/2024 2:14:30,15.62
11/1/2024 2:19:30,15.6
11/1/2024 2:24:30,15.59
11/1/2024 2:29:30,15.58
11/1/2024 2:34:30,15.56
11/1/2024 2:39:30,15.54
11/1/2024 2:44:30,15.52
11/1/2024 2:49:30,15.51
11/1/2024 2:54:30,15.49
11/1/2024 2:59:30,15.48
11/1/2024 3:04:30,15.46
11/1/2024 3:09:30,15.45
11/1/2024 3:14:30,15.43
11/1/2024 3:19:30,15.41
11/1/2024 3:24:30,15.4
11/1/2024 3:29:30,15.38
11/1/2024 3:34:30,15.37
11/1/2024 3:39:30,15.35
11/1/2024 3:44:30,15.33
11/1/2024 3:49:30,15.32
11/1/2024 3:54:30,15.3
11/1/2024 3:59:30,15.29
11/1/2024 4:04:30,15.28
11/1/2024 4:09:30,15.26
11/1/2024 4:14:30,15.24
11/1/2024 4:19:30,15.23
11/1/2024 4:24:30,15.21
11/1/2024 4:29:30,15.19
11/1/2024 4:34:30,15.17
11/1/2024 4:39:30,15.16
11/1/2024 4:44:30,15.15
11/1/2024 4:49:30,15.14
11/1/2024 4:54:30,15.12
11/1/2024 4:59:30,15.11
11/1/2024 5:04:30,15.1
11/1/2024 5:09:30,15.07
11/1/2024 5:14:30,15.06
11/1/2024 5:19:30,15.06
11/1/2024 5:24:30,15.05
11/1/2024 5:29:30,15.03
11/1/2024 5:34:30,15.02
11/1/2024 5:39:30,15.01
11/1/2024 5:44:30,15
11/1/2024 5:49:30,14.99
11/1/2024 5:54:30,14.97
11/1/2024 5:59:30,14.96
11/1/2024 6:04:30,14.95
11/1/2024 6:09:30,14.93
11/1/2024 6:14:30,14.93
11/1/2024 6:19:30,14.92
11/1/2024 6:24:30,14.91
11/1/2024 6:29:30,14.89
11/1/2024 6:34:30,14.89
11/1/2024 6:39:30,14.88
11/1/2024 6:44:30,14.87
11/1/2024 6:49:30,14.86
11/1/2024 6:54:30,14.85
