datetime,Tryptophan (RFU),CDOM (RFU),Temperature
10/1/23 0:00,86.5,2251.1,20.44
10/1/23 0:10,86.1,2252.7,20.43
10/1/23 0:20,87.5,2257.4,20.42
10/1/23 0:30,86.6,2261.5,20.41
10/1/23 0:40,84.7,2262.4,20.41
10/1/23 0:50,85.8,2261.2,20.39
10/1/23 1:00,84.6,2268.1,20.39
10/1/23 1:10,85.9,2269,20.38
10/1/23 1:20,88.3,2273.7,20.37
10/1/23 1:30,85.7,2274.4,20.37
10/1/23 1:40,86.5,2276.9,20.36
10/1/23 1:50,84.8,2288.1,20.36
10/1/23 2:00,86.5,2294.5,20.36
10/1/23 2:10,87.8,2297.8,20.36
10/1/23 2:20,86.7,2311.7,20.36
10/1/23 2:30,85.5,2319.7,20.35
10/1/23 2:40,87.7,2332.2,20.34
10/1/23 2:50,86.7,2341.1,20.33
10/1/23 3:00,87.4,2346.2,20.3
10/1/23 3:10,86.1,2354.1,20.28
10/1/23 3:20,87.5,2353.9,20.26
10/1/23 3:30,88,2357.9,20.24
10/1/23 3:40,86.8,2362.4,20.22
10/1/23 3:50,89,2367.1,20.19
10/1/23 4:00,86.7,2369.3,20.16
10/1/23 4:10,88.3,2368.1,20.13
10/1/23 4:20,88.9,2374.8,20.1
10/1/23 4:30,88.2,2373.1,20.07
10/1/23 4:40,89.1,2369.7,20.05
10/1/23 4:50,89.1,2379.4,20.03
10/1/23 5:00,88,2378.2,19.99
10/1/23 5:10,87.8,2379.6,19.96
10/1/23 5:20,87.6,2377.6,19.93
10/1/23 5:30,89.8,2373,19.9
10/1/23 5:40,87.7,2372.4,19.87
10/1/23 5:50,87.9,2369.2,19.84
10/1/23 6:00,88.5,2367.6,19.81
10/1/23 6:10,87.9,2367.7,19.78
10/1/23 6:20,88,2365.4,19.75
10/1/23 6:30,88.7,2362.7,19.72
10/1/23 6:40,88.6,2362.9,19.69
10/1/23 6:50,88,2365.9,19.66
10/1/23 7:00,87.6,2360.7,19.64
10/1/23 7:10,87.7,2359.7,19.61
10/1/23 7:20,90,2354.4,19.59
10/1/23 7:30,88.5,2358.4,19.56
10/1/23 7:40,89,2352.8,19.53
10/1/23 7:50,87.7,2352.4,19.51
10/1/23 8:00,89.2,2348.4,19.48
10/1/23 8:10,89.4,2345.1,19.46
10/1/23 8:20,89.9,2341.2,19.45
10/1/23 8:30,88.9,2341.9,19.45
10/1/23 8:40,88.6,2339.9,19.44
10/1/23 8:50,89.7,2337.5,19.43
10/1/23 9:00,89.9,2336.5,19.4
10/1/23 9:10,90,2327.2,19.39
10/1/23 9:20,88.6,2334.1,19.38
10/1/23 9:30,88.4,2327.4,19.37
10/1/23 9:40,90,2317.1,19.36
10/1/23 9:50,89.2,2321.4,19.35
10/1/23 10:00,89.2,2315.1,19.35
10/1/23 10:10,89.9,2314.8,19.34
10/1/23 10:20,89.2,2314.2,19.34
10/1/23 10:30,89,2310.8,19.34
10/1/23 10:40,88.7,2323.3,19.33
10/1/23 10:50,87.5,2308.8,19.35
10/1/23 11:00,88.6,2297.1,19.34
10/1/23 11:10,88.9,2298.6,19.33
10/1/23 11:20,87.9,2298.8,19.34
10/1/23 11:30,112.4,2302.8,19.37
10/1/23 11:40,89.4,2298.8,19.37
10/1/23 11:50,89.2,2305,19.4
10/1/23 12:00,88.7,2284.8,19.43
10/1/23 12:10,89.2,2274.8,19.46
10/1/23 12:20,88.3,2272.3,19.5
10/1/23 12:30,88.3,2263.6,19.54
10/1/23 12:40,87.1,2273.1,19.6
10/1/23 12:50,89.4,2267.5,19.65
10/1/23 13:00,88,2255.8,19.72
10/1/23 13:10,87.1,2245.8,19.8
10/1/23 13:20,87.6,2230.7,19.87
10/1/23 13:30,88,2217.3,19.94
10/1/23 13:40,88.3,2222.6,20.02
10/1/23 13:50,87.9,2221.5,20.08
10/1/23 14:00,88.6,2217.5,20.14
10/1/23 14:10,87.5,2212.8,20.19
10/1/23 14:20,87.7,2190.4,20.23
10/1/23 14:30,88.4,2198.9,20.28
10/1/23 14:40,88.1,2193.8,20.31
10/1/23 14:50,87.4,2192.5,20.36
10/1/23 15:00,87.7,2256.1,20.43
10/1/23 15:10,87.7,2280.1,20.51
10/1/23 15:20,90.4,2353.6,20.55
10/1/23 15:30,92.3,2465,20.6
10/1/23 15:40,93.2,2539.3,20.62
10/1/23 15:50,95.8,2640.6,20.67
10/1/23 16:00,95.6,2701.9,20.71
10/1/23 16:10,97.1,2786.4,20.73
10/1/23 16:20,95.8,2855.3,20.76
10/1/23 16:30,98.1,2952.8,20.78
10/1/23 16:40,96.9,2999.9,20.8
10/1/23 16:50,99.1,3019.2,20.83
10/1/23 17:00,99.4,3081.3,20.84
10/1/23 17:10,100.5,3163.8,20.84
10/1/23 17:20,101.1,3185.1,20.86
10/1/23 17:30,102,3201.3,20.87
10/1/23 17:40,100.5,3242.2,20.86
10/1/23 17:50,101.5,3275.8,20.86
10/1/23 18:00,99.7,3281,20.87
10/1/23 18:10,101.3,3300.6,20.87
10/1/23 18:20,100.9,3314,20.88
10/1/23 18:30,101.5,3319.5,20.89
10/1/23 18:40,102,3330.2,20.91
10/1/23 18:50,100.3,3335.8,20.92
10/1/23 19:00,101,3337.9,20.93
10/1/23 19:10,101.6,3338.2,20.93
10/1/23 19:20,100,3335.3,20.95
10/1/23 19:30,101.9,3316.6,20.97
10/1/23 19:40,101.1,3328.6,20.98
10/1/23 19:50,101.5,3336.5,20.99
10/1/23 20:00,101,3317.5,21
10/1/23 20:10,102.2,3324.7,21
10/1/23 20:20,102.4,3323.8,21
10/1/23 20:30,101.4,3319.6,21
10/1/23 20:40,100.9,3323.7,21
10/1/23 20:50,102.5,3316.5,20.99
10/1/23 21:00,102.7,3319.6,20.99
10/1/23 21:10,102.5,3316.5,20.98
10/1/23 21:20,101.6,3315.6,20.97
10/1/23 21:30,102.7,3315.2,20.95
10/1/23 21:40,102,3319.7,20.93
10/1/23 21:50,103.2,3317.1,20.91
10/1/23 22:00,101.8,3318.8,20.89
10/1/23 22:10,101.4,3321.1,20.85
10/1/23 22:20,102.6,3324.4,20.84
10/1/23 22:30,102.7,3320,20.81
10/1/23 22:40,101.9,3315.7,20.78
10/1/23 22:50,103.1,3316.5,20.75
10/1/23 23:00,102.9,3316.9,20.75
10/1/23 23:10,100.8,3317.5,20.72
10/1/23 23:20,103.8,3293.2,20.7
10/1/23 23:30,102.8,3331.5,20.69
10/1/23 23:40,102.5,3339.3,20.66
10/1/23 23:50,102,3361.7,20.64
10/2/23 0:00,101.8,3392.8,20.61
10/2/23 0:10,101.6,3416.2,20.59
10/2/23 0:20,100.8,3416.5,20.57
10/2/23 0:30,102.3,3420.1,20.53
10/2/23 0:40,100.5,3449.8,20.5
10/2/23 0:50,100.7,3471.4,20.46
10/2/23 1:00,102.2,3513.7,20.4
