t_wql,trp,cdom,temp
10/1/2024 0:06:00,72.8,1558.6,21.67
10/1/2024 0:16:00,70.1,1557.5,21.64
10/1/2024 0:26:00,71.8,1566.4,21.62
10/1/2024 0:36:00,71.4,1568.3,21.6
10/1/2024 0:46:00,72.6,1576.4,21.56
10/1/2024 0:56:00,72.4,1582.5,21.53
10/1/2024 1:06:00,72.1,1591.5,21.5
10/1/2024 1:16:00,73.9,1591.1,21.46
10/1/2024 1:26:00,72.3,1599.6,21.43
10/1/2024 1:36:00,71.8,1610.1,21.39
10/1/2024 1:46:00,73.5,1616.5,21.36
10/1/2024 1:56:00,73.3,1622.8,21.32
10/1/2024 2:06:00,73.8,1635.6,21.27
10/1/2024 2:16:00,73.4,1646.2,21.21
10/1/2024 2:26:00,73.4,1652.6,21.18
10/1/2024 2:36:00,73,1651.4,21.14
10/1/2024 2:46:00,73.9,1657,21.1
10/1/2024 2:56:00,73.6,1656.4,21.07
10/1/2024 3:06:00,74.2,1658.7,21.03
10/1/2024 3:16:00,73.4,1661,20.99
10/1/2024 3:26:00,74.1,1665,20.96
10/1/2024 3:36:00,72.6,1667.3,20.92
10/1/2024 3:46:00,73.3,1669.8,20.89
10/1/2024 3:56:00,73.1,1672,20.86
10/1/2024 4:06:00,73.1,1674.1,20.82
10/1/2024 4:16:00,73.5,1674.6,20.78
10/1/2024 4:26:00,74,1678.9,20.75
10/1/2024 4:36:00,73.4,1679.7,20.71
10/1/2024 4:46:00,73.1,1679.3,20.67
10/1/2024 4:56:00,73.7,1682.2,20.64
10/1/2024 5:06:00,73.9,1684,20.6
10/1/2024 5:16:00,74.2,1682.7,20.56
10/1/2024 5:26:00,74.9,1683.4,20.53
10/1/2024 5:36:00,71.6,1682.9,20.49
10/1/2024 5:46:00,74.5,1691.1,20.46
10/1/2024 5:56:00,74.6,1687.9,20.42
10/1/2024 6:06:00,75,1691.4,20.37
10/1/2024 6:16:00,74.3,1694.2,20.34
10/1/2024 6:26:00,75.2,1691.6,20.3
10/1/2024 6:36:00,72.8,1694,20.27
10/1/2024 6:46:00,73.6,1694.5,20.23
10/1/2024 6:56:00,74.4,1699.8,20.19
10/1/2024 7:06:00,74.6,1700.5,20.16
10/1/2024 7:16:00,75.3,1702.4,20.12
10/1/2024 7:26:00,74.1,1702.2,20.09
10/1/2024 7:36:00,75,1703,20.06
10/1/2024 7:46:00,74.7,1707.1,20.03
10/1/2024 7:56:00,74.1,1705.5,19.99
10/1/2024 8:06:00,73.8,1709,19.96
10/1/2024 8:16:00,74.7,1706.7,19.94
10/1/2024 8:26:00,75.7,1706.9,19.91
10/1/2024 8:36:00,74.8,1706,19.89
10/1/2024 8:46:00,74.7,1705.4,19.87
10/1/2024 8:56:00,74.9,1705.6,19.84
10/1/2024 9:06:00,75.7,1703.8,19.83
10/1/2024 9:16:00,75,1707,19.81
10/1/2024 9:26:00,73.9,1700.9,19.81
10/1/2024 9:36:00,75,1698.1,19.8
10/1/2024 9:46:00,72.3,1697.3,19.8
10/1/2024 9:56:00,74.7,1689.7,19.81
10/1/2024 10:06:00,73.1,1689.6,19.82
10/1/2024 10:16:00,74,1684.8,19.84
10/1/2024 10:26:00,73.6,1684.1,19.86
10/1/2024 10:36:00,75.2,1679.5,19.88
10/1/2024 10:46:00,73,1685.9,19.9
10/1/2024 10:56:00,74.6,1686.5,19.93
10/1/2024 11:06:00,73.2,1677.4,19.96
10/1/2024 11:16:00,74.7,1671.6,20
10/1/2024 11:26:00,74.1,1670,20.04
10/1/2024 11:36:00,73.8,1705.1,20.1
10/1/2024 11:46:00,73.3,1702.5,20.17
10/1/2024 11:56:00,73.9,1692.9,20.25
10/1/2024 12:06:00,74.6,1696.6,20.33
10/1/2024 12:16:00,73.5,1695.6,20.41
10/1/2024 12:26:00,72.5,1693.4,20.48
10/1/2024 12:36:00,74.1,1682.6,20.56
10/1/2024 12:46:00,74.7,1677.7,20.64
10/1/2024 12:56:00,72.4,1675.6,20.71
10/1/2024 13:06:00,74.8,1667.5,20.76
10/1/2024 13:16:00,73,1640.4,20.83
10/1/2024 13:26:00,72.7,1669.5,20.87
10/1/2024 13:36:00,74.7,1639,20.93
10/1/2024 13:46:00,74.5,1629.6,20.96
10/1/2024 13:56:00,74,1624.7,21
10/1/2024 14:06:00,75.2,1625.3,21.03
10/1/2024 14:16:00,73.8,1628.7,21.05
10/1/2024 14:26:00,72.6,1629.2,21.07
10/1/2024 14:36:00,73.7,1630.3,21.08
10/1/2024 14:46:00,74,1628.3,21.09
10/1/2024 14:56:00,72.9,1630.5,21.1
10/1/2024 15:06:00,73.3,1627.2,21.11
10/1/2024 15:16:00,73.1,1627.1,21.12
10/1/2024 15:26:00,73.3,1627.2,21.13
10/1/2024 15:36:00,72.5,1621,21.14
10/1/2024 15:46:00,73.2,1621,21.15
10/1/2024 15:56:00,72.4,1612.6,21.17
10/1/2024 16:06:00,72.7,1611.9,21.18
10/1/2024 16:16:00,73.8,1608,21.21
10/1/2024 16:26:00,73,1604.3,21.24
10/1/2024 16:36:00,74.1,1599.1,21.28
10/1/2024 16:46:00,72.7,1619.7,21.33
10/1/2024 16:56:00,72,1629.9,21.38
10/1/2024 17:06:00,73.5,1624.5,21.43
