datetime,water_level_ft
10/7/2024 13:45:00,1.68
10/7/2024 14:00:00,1.68
10/7/2024 14:15:00,1.67
10/7/2024 14:30:00,1.67
10/7/2024 14:45:00,1.67
10/7/2024 15:00:00,1.67
10/7/2024 15:15:00,1.67
10/7/2024 15:30:00,1.67
10/7/2024 15:45:00,1.67
10/7/2024 16:00:00,1.67
10/7/2024 16:15:00,1.67
10/7/2024 16:30:00,1.67
10/7/2024 16:45:00,1.67
10/7/2024 17:00:00,1.67
10/7/2024 17:15:00,1.67
10/7/2024 17:30:00,1.66
10/7/2024 17:45:00,1.67
10/7/2024 18:00:00,1.66
10/7/2024 18:15:00,1.66
10/7/2024 18:30:00,1.67
10/7/2024 18:45:00,1.66
10/7/2024 19:00:00,1.67
10/7/2024 19:15:00,1.67
10/7/2024 19:30:00,1.67
10/7/2024 19:45:00,1.67
10/7/2024 20:00:00,1.67
10/7/2024 20:15:00,1.67
10/7/2024 20:30:00,1.67
10/7/2024 20:45:00,1.67
10/7/2024 21:00:00,1.67
10/7/2024 21:15:00,1.67
10/7/2024 21:30:00,1.67
10/7/2024 21:45:00,1.68
10/7/2024 22:00:00,1.68
10/7/2024 22:15:00,1.68
10/7/2024 22:30:00,1.68
10/7/2024 22:45:00,1.68
10/7/2024 23:00:00,1.68
10/7/2024 23:15:00,1.68
10/7/2024 23:30:00,1.68
10/7/2024 23:45:00,1.68
10/8/2024 0:00:00,1.69
10/8/2024 0:15:00,1.68
10/8/2024 0:30:00,1.69
10/8/2024 0:45:00,1.69
10/8/2024 1:00:00,1.69
10/8/2024 1:15:00,1.68
10/8/2024 1:30:00,1.68
10/8/2024 1:45:00,1.69
10/8/2024 2:00:00,1.69
10/8/2024 2:15:00,1.69
10/8/2024 2:30:00,1.69
10/8/2024 2:45:00,1.69
10/8/2024 3:00:00,1.69
10/8/2024 3:15:00,1.69
10/8/2024 3:30:00,1.69
10/8/2024 3:45:00,1.69
10/8/2024 4:00:00,1.69
10/8/2024 4:15:00,1.7
10/8/2024 4:30:00,1.7
10/8/2024 4:45:00,1.7
10/8/2024 5:00:00,1.7
10/8/2024 5:15:00,1.7
10/8/2024 5:30:00,1.69
10/8/2024 5:45:00,1.69
